Rank,Track Name,Artist,Album,Popularity
1,Love Galore (Alt Version),SZA,Ctrl (Deluxe),58
2,Jodie,SZA,Ctrl (Deluxe),53
3,Tread Carefully,SZA,Ctrl (Deluxe),55
4,Awkward,SZA,Ctrl (Deluxe),72
5,OMG (feat. will.i.am),USHER,Raymond v Raymond (Expanded Edition),68
6,Miles,SZA,Ctrl (Deluxe),56
7,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,El Mal Querer,58
8,Blind,SZA,SOS,72
9,El Apagón,Bad Bunny,Un Verano Sin Ti,65
10,Percolator,SZA,Ctrl (Deluxe),52
